"filename", "language", "JSON", "Markdown", "JavaScript", "PostCSS", "XML", "HTML", "JavaScript JSX", "comment", "blank", "total"
"c:\Users\adity\OneDrive\Desktop\VeggieTO\README.md", "Markdown", 0, 44, 0, 0, 0, 0, 0, 0, 21, 65
"c:\Users\adity\OneDrive\Desktop\VeggieTO\backend\UserModel\cart.model.js", "JavaScript", 0, 0, 30, 0, 0, 0, 0, 0, 2, 32
"c:\Users\adity\OneDrive\Desktop\VeggieTO\backend\UserModel\customer.model.js", "JavaScript", 0, 0, 68, 0, 0, 0, 0, 0, 4, 72
"c:\Users\adity\OneDrive\Desktop\VeggieTO\backend\UserModel\delivery.model.js", "JavaScript", 0, 0, 41, 0, 0, 0, 0, 0, 2, 43
"c:\Users\adity\OneDrive\Desktop\VeggieTO\backend\UserModel\items.model.js", "JavaScript", 0, 0, 51, 0, 0, 0, 0, 0, 3, 54
"c:\Users\adity\OneDrive\Desktop\VeggieTO\backend\UserModel\order.model.js", "JavaScript", 0, 0, 44, 0, 0, 0, 0, 0, 2, 46
"c:\Users\adity\OneDrive\Desktop\VeggieTO\backend\UserModel\transaction.model.js", "JavaScript", 0, 0, 24, 0, 0, 0, 0, 0, 1, 25
"c:\Users\adity\OneDrive\Desktop\VeggieTO\backend\adminModel\admin.model.js", "JavaScript", 0, 0, 44, 0, 0, 0, 0, 0, 1, 45
"c:\Users\adity\OneDrive\Desktop\VeggieTO\backend\adminModel\deliveryPartner.model.js", "JavaScript", 0, 0, 51, 0, 0, 0, 0, 0, 2, 53
"c:\Users\adity\OneDrive\Desktop\VeggieTO\backend\adminModel\rider.model.js", "JavaScript", 0, 0, 44, 0, 0, 0, 0, 0, 5, 49
"c:\Users\adity\OneDrive\Desktop\VeggieTO\backend\api-gateway\controllers\authController.js", "JavaScript", 0, 0, 72, 0, 0, 0, 0, 0, 9, 81
"c:\Users\adity\OneDrive\Desktop\VeggieTO\backend\api-gateway\controllers\proxyController.js", "JavaScript", 0, 0, 65, 0, 0, 0, 0, 2, 5, 72
"c:\Users\adity\OneDrive\Desktop\VeggieTO\backend\api-gateway\package-lock.json", "JSON", 2345, 0, 0, 0, 0, 0, 0, 0, 1, 2346
"c:\Users\adity\OneDrive\Desktop\VeggieTO\backend\api-gateway\package.json", "JSON", 24, 0, 0, 0, 0, 0, 0, 0, 1, 25
"c:\Users\adity\OneDrive\Desktop\VeggieTO\backend\api-gateway\routes\authRoutes.js", "JavaScript", 0, 0, 6, 0, 0, 0, 0, 0, 4, 10
"c:\Users\adity\OneDrive\Desktop\VeggieTO\backend\api-gateway\routes\proxyRoute.js", "JavaScript", 0, 0, 7, 0, 0, 0, 0, 0, 3, 10
"c:\Users\adity\OneDrive\Desktop\VeggieTO\backend\api-gateway\server.js", "JavaScript", 0, 0, 28, 0, 0, 0, 0, 1, 14, 43
"c:\Users\adity\OneDrive\Desktop\VeggieTO\backend\config\db.js", "JavaScript", 0, 0, 52, 0, 0, 0, 0, 23, 16, 91
"c:\Users\adity\OneDrive\Desktop\VeggieTO\backend\config\redisPubSub.js", "JavaScript", 0, 0, 13, 0, 0, 0, 0, 0, 4, 17
"c:\Users\adity\OneDrive\Desktop\VeggieTO\backend\farmerModel\farmer.model.js", "JavaScript", 0, 0, 69, 0, 0, 0, 0, 0, 2, 71
"c:\Users\adity\OneDrive\Desktop\VeggieTO\backend\farmerModel\productListing.model.js", "JavaScript", 0, 0, 61, 0, 0, 0, 0, 0, 2, 63
"c:\Users\adity\OneDrive\Desktop\VeggieTO\backend\farmerModel\shipment.model.js", "JavaScript", 0, 0, 41, 0, 0, 0, 0, 0, 2, 43
"c:\Users\adity\OneDrive\Desktop\VeggieTO\backend\farmerModel\transactionFarmer.model.js", "JavaScript", 0, 0, 24, 0, 0, 0, 0, 0, 1, 25
"c:\Users\adity\OneDrive\Desktop\VeggieTO\backend\package-lock.json", "JSON", 345, 0, 0, 0, 0, 0, 0, 0, 1, 346
"c:\Users\adity\OneDrive\Desktop\VeggieTO\backend\package.json", "JSON", 18, 0, 0, 0, 0, 0, 0, 0, 1, 19
"c:\Users\adity\OneDrive\Desktop\VeggieTO\backend\services\customerService\config\razorpay.config.js", "JavaScript", 0, 0, 8, 0, 0, 0, 0, 0, 2, 10
"c:\Users\adity\OneDrive\Desktop\VeggieTO\backend\services\customerService\customerControllers\authController.js", "JavaScript", 0, 0, 42, 0, 0, 0, 0, 0, 2, 44
"c:\Users\adity\OneDrive\Desktop\VeggieTO\backend\services\customerService\customerControllers\cartController.js", "JavaScript", 0, 0, 189, 0, 0, 0, 0, 18, 32, 239
"c:\Users\adity\OneDrive\Desktop\VeggieTO\backend\services\customerService\customerControllers\orderController.js", "JavaScript", 0, 0, 174, 0, 0, 0, 0, 7, 22, 203
"c:\Users\adity\OneDrive\Desktop\VeggieTO\backend\services\customerService\customerControllers\productController.js", "JavaScript", 0, 0, 132, 0, 0, 0, 0, 3, 18, 153
"c:\Users\adity\OneDrive\Desktop\VeggieTO\backend\services\customerService\customerControllers\profileController.js", "JavaScript", 0, 0, 61, 0, 0, 0, 0, 2, 2, 65
"c:\Users\adity\OneDrive\Desktop\VeggieTO\backend\services\customerService\customerRoutes\authRoute.js", "JavaScript", 0, 0, 5, 0, 0, 0, 0, 0, 3, 8
"c:\Users\adity\OneDrive\Desktop\VeggieTO\backend\services\customerService\customerRoutes\cartRoutes.js", "JavaScript", 0, 0, 10, 0, 0, 0, 0, 0, 3, 13
"c:\Users\adity\OneDrive\Desktop\VeggieTO\backend\services\customerService\customerRoutes\itemsRoute.js", "JavaScript", 0, 0, 8, 0, 0, 0, 0, 0, 4, 12
"c:\Users\adity\OneDrive\Desktop\VeggieTO\backend\services\customerService\customerRoutes\orderRoute.js", "JavaScript", 0, 0, 8, 0, 0, 0, 0, 0, 4, 12
"c:\Users\adity\OneDrive\Desktop\VeggieTO\backend\services\customerService\customerRoutes\profileRoute.js", "JavaScript", 0, 0, 7, 0, 0, 0, 0, 0, 3, 10
"c:\Users\adity\OneDrive\Desktop\VeggieTO\backend\services\customerService\middleware\authMiddleware.js", "JavaScript", 0, 0, 19, 0, 0, 0, 0, 3, 4, 26
"c:\Users\adity\OneDrive\Desktop\VeggieTO\backend\services\customerService\package-lock.json", "JSON", 4128, 0, 0, 0, 0, 0, 0, 0, 1, 4129
"c:\Users\adity\OneDrive\Desktop\VeggieTO\backend\services\customerService\package.json", "JSON", 27, 0, 0, 0, 0, 0, 0, 0, 1, 28
"c:\Users\adity\OneDrive\Desktop\VeggieTO\backend\services\customerService\server.js", "JavaScript", 0, 0, 38, 0, 0, 0, 0, 0, 10, 48
"c:\Users\adity\OneDrive\Desktop\VeggieTO\backend\services\customerService\utils\orderQueue.js", "JavaScript", 0, 0, 27, 0, 0, 0, 0, 0, 8, 35
"c:\Users\adity\OneDrive\Desktop\VeggieTO\backend\services\customerService\utils\redis-bull.js", "JavaScript", 0, 0, 15, 0, 0, 0, 0, 2, 7, 24
"c:\Users\adity\OneDrive\Desktop\VeggieTO\backend\services\customerService\utils\redis.js", "JavaScript", 0, 0, 53, 0, 0, 0, 0, 1, 11, 65
"c:\Users\adity\OneDrive\Desktop\VeggieTO\backend\services\farmerService\farmerControllers\authController.js", "JavaScript", 0, 0, 36, 0, 0, 0, 0, 0, 2, 38
"c:\Users\adity\OneDrive\Desktop\VeggieTO\backend\services\farmerService\farmerControllers\listingController.js", "JavaScript", 0, 0, 53, 0, 0, 0, 0, 2, 2, 57
"c:\Users\adity\OneDrive\Desktop\VeggieTO\backend\services\farmerService\farmerControllers\profileController.js", "JavaScript", 0, 0, 61, 0, 0, 0, 0, 1, 2, 64
"c:\Users\adity\OneDrive\Desktop\VeggieTO\backend\services\farmerService\farmerRoutes\authRoute.js", "JavaScript", 0, 0, 5, 0, 0, 0, 0, 0, 3, 8
"c:\Users\adity\OneDrive\Desktop\VeggieTO\backend\services\farmerService\farmerRoutes\listingRoute.js", "JavaScript", 0, 0, 7, 0, 0, 0, 0, 0, 4, 11
"c:\Users\adity\OneDrive\Desktop\VeggieTO\backend\services\farmerService\farmerRoutes\profileRoute.js", "JavaScript", 0, 0, 7, 0, 0, 0, 0, 0, 3, 10
"c:\Users\adity\OneDrive\Desktop\VeggieTO\backend\services\farmerService\middlewares\authMiddleware.js", "JavaScript", 0, 0, 19, 0, 0, 0, 0, 3, 4, 26
"c:\Users\adity\OneDrive\Desktop\VeggieTO\backend\services\farmerService\package-lock.json", "JSON", 1889, 0, 0, 0, 0, 0, 0, 0, 1, 1890
"c:\Users\adity\OneDrive\Desktop\VeggieTO\backend\services\farmerService\package.json", "JSON", 21, 0, 0, 0, 0, 0, 0, 0, 1, 22
"c:\Users\adity\OneDrive\Desktop\VeggieTO\backend\services\farmerService\server.js", "JavaScript", 0, 0, 29, 0, 0, 0, 0, 0, 8, 37
"c:\Users\adity\OneDrive\Desktop\VeggieTO\backend\services\logisticsService\config\websocket.js", "JavaScript", 0, 0, 129, 0, 0, 0, 0, 10, 14, 153
"c:\Users\adity\OneDrive\Desktop\VeggieTO\backend\services\logisticsService\logisticsControllers\authController.js", "JavaScript", 0, 0, 38, 0, 0, 0, 0, 0, 1, 39
"c:\Users\adity\OneDrive\Desktop\VeggieTO\backend\services\logisticsService\logisticsControllers\deliveryController.js", "JavaScript", 0, 0, 39, 0, 0, 0, 0, 3, 7, 49
